data,media_nacional
2020-01-01,594.4896296296296
2020-02-01,598.6155555555556
2020-03-01,588.2522222222223
2020-04-01,584.0107407407407
2020-05-01,586.7248148148147
2020-06-01,595.9262962962963
2020-07-01,603.5848148148149
2020-08-01,648.1377777777778
2020-09-01,654.3229629629631
2020-10-01,657.9596296296296
2020-11-01,660.661111111111
2020-12-01,659.8574074074074
2021-01-01,627.9237037037036
2021-02-01,631.0459259259259
2021-03-01,622.064074074074
2021-04-01,613.1911111111111
2021-05-01,619.8485185185185
2021-06-01,630.6911111111111
2021-07-01,631.1033333333334
2021-08-01,634.1614814814815
2021-09-01,640.0596296296296
2021-10-01,641.2851851851852
2021-11-01,643.5151851851851
2021-12-01,652.2203703703703
2022-01-01,667.035925925926
2022-02-01,666.8488888888888
2022-03-01,655.1714814814815
2022-04-01,649.2811111111112
2022-05-01,652.4937037037038
2022-06-01,667.1277777777779
2022-07-01,668.3974074074074
2022-08-01,672.8707407407406
2022-09-01,674.2077777777778
2022-10-01,676.1625925925925
2022-11-01,680.1774074074075
2022-12-01,684.242962962963
2023-01-01,697.8996296296297
2023-02-01,703.4022222222222
2023-03-01,690.3370370370371
2023-04-01,685.5066666666667
2023-05-01,686.89
2023-06-01,701.0418518518519
2023-07-01,705.1748148148149
2023-08-01,707.6966666666667
2023-09-01,709.0348148148148
2023-10-01,716.1555555555556
2023-11-01,717.0592592592592
2023-12-01,722.2877777777778
2024-01-01,734.5511111111111
2024-02-01,741.9618518518519
2024-03-01,731.7988888888889
2024-04-01,720.0862962962964
2024-05-01,727.978888888889
2024-06-01,740.1944444444445
2024-07-01,741.7062962962963
2024-08-01,745.4811111111112
2024-09-01,749.8885185185186
2024-10-01,753.3855555555556
2024-11-01,759.7977777777778
2024-12-01,758.5055555555556
2025-01-01,776.8074074074074
2025-02-01,783.8337037037037
2025-03-01,770.8496296296296
2025-04-01,762.3329629629629
2025-05-01,763.3848148148148
2025-06-01,774.8422222222223
2025-07-01,778.1303703703704
2025-08-01,777.5322222222222
2025-09-01,782.8433333333334
2025-10-01,782.1796296296296
2025-11-01,783.1203703703703
2025-12-01,786.0566666666666
2026-01-01,805.497037037037
2026-02-01,806.8322222222223
2026-03-01,792.7003703703704
