data,capital,estado,regiao,custo,fonte_dado,variacao_mensal_pct,variacao_anual_pct,outlier,lag_1,lag_12,rolling_mean_3,rolling_mean_6
2020-01-01,Aracaju,SE,Nordeste,368.69,real_dieese,,,False,,,368.69,368.69
2020-02-01,Aracaju,SE,Nordeste,371.22,real_dieese,0.6862133499688117,,False,368.69,,369.95500000000004,369.95500000000004
2020-03-01,Aracaju,SE,Nordeste,390.2,real_dieese,5.112871073756797,,False,371.22,,376.7033333333334,376.7033333333334
2020-04-01,Aracaju,SE,Nordeste,401.37,real_dieese,2.8626345463864666,,False,390.2,,387.59666666666664,382.87
2020-05-01,Aracaju,SE,Nordeste,400.15,real_dieese,-0.30395894062835715,,False,401.37,,397.23999999999995,386.326
2020-06-01,Aracaju,SE,Nordeste,420.03,real_dieese,4.968136948644264,,False,400.15,,407.18333333333334,391.9433333333333
2020-07-01,Aracaju,SE,Nordeste,392.75,real_dieese,-6.4947741827964585,,False,420.03,,404.30999999999995,395.9533333333333
2020-08-01,Aracaju,SE,Nordeste,398.47,real_dieese,1.456397199236159,,False,392.75,,403.75,400.49499999999995
2020-09-01,Aracaju,SE,Nordeste,427.11,real_dieese,7.187492157502451,,False,398.47,,406.10999999999996,406.6466666666667
2020-10-01,Aracaju,SE,Nordeste,442.26,real_dieese,3.547095595982297,,False,427.11,,422.6133333333334,413.46166666666664
2020-11-01,Aracaju,SE,Nordeste,451.32,real_dieese,2.048568715235377,,False,442.26,,440.23,421.99
2020-12-01,Aracaju,SE,Nordeste,453.16,real_dieese,0.4076929894531567,,False,451.32,,448.91333333333336,427.5116666666667
2021-01-01,Aracaju,SE,Nordeste,450.84,real_dieese,-0.5119604554682744,22.281591581003003,False,453.16,368.69,451.7733333333333,437.1933333333334
2021-02-01,Aracaju,SE,Nordeste,445.9,real_dieese,-1.0957324106113053,20.117450568396087,False,450.84,371.22,449.9666666666667,445.0983333333333
2021-03-01,Aracaju,SE,Nordeste,468.79,real_dieese,5.133437990580858,20.140953357252698,False,445.9,390.2,455.1766666666667,452.0449999999999
2021-04-01,Aracaju,SE,Nordeste,469.66,real_dieese,0.18558416348470885,17.014226275008106,False,468.79,401.37,461.45000000000005,456.6116666666667
2021-05-01,Aracaju,SE,Nordeste,468.43,real_dieese,-0.26189158114381383,17.06360114956893,False,469.66,400.15,468.96000000000004,459.4633333333333
2021-06-01,Aracaju,SE,Nordeste,470.97,real_dieese,0.5422368336784666,12.127705163916879,False,468.43,420.03,469.68666666666667,462.4316666666667
2021-07-01,Aracaju,SE,Nordeste,488.42,real_dieese,3.705119222031117,24.359007001909603,False,470.97,392.75,475.94,468.695
2021-08-01,Aracaju,SE,Nordeste,456.4,real_dieese,-6.555833094467889,14.538108264110218,False,488.42,398.47,471.93,470.445
2021-09-01,Aracaju,SE,Nordeste,454.03,real_dieese,-0.5192813321647671,6.302825969890646,False,456.4,427.11,466.2833333333333,467.98500000000007
2021-10-01,Aracaju,SE,Nordeste,464.17,real_dieese,2.23333259916747,4.954099398543854,False,454.03,442.26,458.2,467.07
2021-11-01,Aracaju,SE,Nordeste,473.26,real_dieese,1.958334230992942,4.861295754675177,False,464.17,451.32,463.82,467.875
